,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,camacari,br,-12.7,84.2,66,40,6.93
1,oranjemund,na,-28.55,61.39,100,0,5.95
2,talcahuano,cl,-36.72,69.8,64,0,16.11
3,yefira,gr,-36.72,69.8,64,0,16.11
4,nikolskoye,ru,59.7,21.2,85,0,4.47
5,ancud,cl,-41.87,57.25,71,56,5.28
6,albany,au,42.65,46.06,93,90,3.36
7,mount gambier,au,-37.83,59.9,97,92,6.4
8,avera,pf,33.19,78.46,47,75,6.93
9,butaritari,ki,3.07,80.73,100,36,6.85
10,hvide sande,dk,56.01,31.08,100,92,6.93
11,pili,ph,13.56,75.69,91,88,7.63
12,ler,sd,63.2,27.55,58,0,10.29
13,bengkulu,id,63.2,27.55,58,0,10.29
14,lata,sb,30.78,38.3,90,56,2.15
15,kapaa,us,22.08,75.2,73,75,9.17
16,albany,au,42.65,46.06,93,90,3.36
17,keti bandar,pk,24.14,78.89,95,0,13.22
18,saint-joseph,re,43.56,54.91,81,0,2.24
19,vaini,to,15.34,68.27,95,0,2.59
20,saint-augustin,ca,44.83,48.2,76,0,5.06
21,raahe,fi,64.68,26.6,79,36,8.05
22,derzhavinsk,kz,51.1,28.08,92,92,10.87
23,butaritari,ki,3.07,80.73,100,36,6.85
24,hofn,is,64.25,39.02,100,92,7.07
25,arraial do cabo,br,-22.97,81.48,65,20,13.87
26,altay,cn,47.83,27.55,88,92,1.36
27,kargil,in,34.56,14.99,90,80,1.36
28,santa isabel do rio negro,br,-0.41,87.48,68,20,4.83
29,atuona,pf,-9.8,77.99,100,92,10.54
30,buraydah,sa,26.33,87.8,27,40,16.11
31,kruisfontein,za,-34,62.46,100,76,11.1
32,sur,om,22.57,80.82,76,0,4.27
33,sistranda,no,63.73,28.4,50,0,8.05
34,ancud,cl,-41.87,57.25,71,56,5.28
35,vardo,no,39.62,64.44,77,75,3.36
36,bambous virieux,mu,-20.34,80.6,78,75,9.17
37,ndungu,tz,-4.38,66.06,88,8,2.37
38,kavieng,pg,-2.57,81.55,100,64,9.75
39,punta arenas,cl,-53.16,50.85,40,0,13.87
40,hermanus,za,-34.42,59.99,92,88,0.69
41,kavieng,pg,-2.57,81.55,100,64,9.75
42,rikitea,pf,-23.12,78.89,100,0,2.15
43,hervey bay,au,-25.3,75.96,100,92,19.04
44,traverse city,us,44.76,37.02,60,90,12.75
45,rikitea,pf,-23.12,78.89,100,0,2.15
46,mar del plata,ar,-46.43,64.22,39,0,15.79
47,bredasdorp,za,-34.53,66.2,88,100,2.24
48,burns lake,ca,54.23,32,82,92,3.15
49,barentsburg,sj,54.23,32,82,92,3.15
50,punta arenas,cl,-53.16,50.85,40,0,13.87
51,rikitea,pf,-23.12,78.89,100,0,2.15
52,new norfolk,au,-42.78,60.8,59,20,10.29
53,severo-kurilsk,ru,50.68,28.76,100,64,6.17
54,souillac,mu,45.6,46.2,76,0,9.17
55,hobart,au,-42.88,60.8,59,20,10.29
56,puerto ayora,ec,-0.74,82.4,69,75,12.75
57,port alfred,za,-33.59,67.69,100,92,2.59
58,castro,cl,-42.48,57.29,74,80,3.94
59,yulara,au,-25.24,75.2,33,44,10.29
