,Source,Compound,Negative,Neutral,Positive,Time,Tweet Text
0,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:30 +0000 2018,RT @corpodelledonne: La @BBC applicherà il 50/50 uomini/donne per gli esperti che coinvolgerà nei suoi programmi. Lo chiedo da molto tempo…
1,@BBC,-0.3182,0.173,0.726,0.101,Mon Apr 02 13:10:16 +0000 2018,"RT @PhyllisMufson: ""Picked the wrong career?"" A significant career change can be overwhelming via @BBC https://t.co/Qdax2FZZf9"
2,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:15 +0000 2018,@censorsapproved That’s asking a bit much. This is the @bbc we’re talking about
3,@BBC,0.1477,0.119,0.74,0.141,Mon Apr 02 13:10:14 +0000 2018,RT @needsfixingnow: @RCorbettMEP Wow British media almost as bad as Chinese or Russian media @BBC Tony Hall Director General should be asha…
4,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:14 +0000 2018,@drkerem @Noor_and_Alaa @RedCrescentTR @UNReliefChief @POTUS @Pontifex_it @jeremycorbyn @WhiteHouse… https://t.co/JUaUXpaPg1
5,@BBC,0.6705,0.0,0.82,0.18,Mon Apr 02 13:10:01 +0000 2018,"RT @BBC: ""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can meet and have a…"
6,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:52 +0000 2018,"RT @navika_saini: #BTSGlitchParty 
सतगुरु पुरुष कबीर है चारो युग प्रमाण
झूठे गुरुआ मर गए हो गए भूत मसान। 
#Reality_Of_Vedas
#kabirisgod
Mus…"
7,@BBC,-0.2144,0.106,0.828,0.067,Mon Apr 02 13:09:51 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…"
8,@BBC,-0.4168,0.117,0.883,0.0,Mon Apr 02 13:09:48 +0000 2018,RT @JennySRP: History will not be kind to those in medicine sweeping ME/CFS under the psychosomatic rug. This is a real neuro-immune illnes…
9,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:43 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
10,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:31 +0000 2018,"RT @Martadpp: 👀👀📽📽 Esto es lo que realmente sucede. 

▶️Los que se saltaron las leyes fueron los políticos independentistas

▶️Desde el Gob…"
11,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:13 +0000 2018,"RT @RCorbettMEP: Is the @BBC abdicating its responsibilities over #Brexit, 
asks Henry Porter:  
https://t.co/2mx73co2Fx"
12,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:04 +0000 2018,"RT @UmakantSingh94: #मास्टरस्ट्रोक
#Reality_Of_Vedas
सामवेद अ4खंड25श्लोक8पूर्ण समर्थ परमात्मा कबीर देव हैं&amp;वे काल के बंधन से छुड़ाते हैं।…"
